SYMBOL,SECURITY_NAME,GICS_SECTOR,GICS_SUB_INDUSTRY,HEADQUARTERS,DATE_ADDED,CIK,FOUNDED
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",,0001090872,1999
AAL,American Airlines,Industrials,Passenger Airlines,"Fort Worth, Texas",,0000006201,1930
AAPL,Apple Inc.,Information Technology,Technology Hardware,"Cupertino, California",,0000320193,1976
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",,0001551152,2013
ABNB,Airbnb,Consumer Discretionary,Hotels Resorts & Cruise Lines,"San Francisco, California",,0001559720,2008
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",,0000001800,1888
ACGL,Arch Capital Group,Financials,Reinsurance,"Hamilton, Bermuda",,0000947484,1995
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",,0001467373,1989
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",,0000796343,1982
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",,0000006281,1965
ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products,"Chicago, Illinois",,0000007084,1902
ADP,Automatic Data Processing,Industrials,Human Resource Services,"Roseland, New Jersey",,0000008670,1949
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",,0000769397,1982
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",,0001002910,1902
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",,0000004904,1906
AES,AES Corporation,Utilities,Independent Power Producers,"Arlington, Virginia",,0000874761,1981
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",,0000004977,1955
AIG,American International Group,Financials,Multi-line Insurance,"New York, New York",,0000005272,1919
AIZ,Assurant,Financials,Multi-line Insurance,"New York, New York",,0001267238,1892
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",,0000354190,1927
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",,0001086222,1998
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",,0000915913,1994
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",,0001097149,1997
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",,0000899051,1931
